Regio's,Totaal voortgezet onderwijs,Vo algemene leerjaren 1-3,Vwo 3-6,Havo 3-5,Vmbo theoretische-gemengde leerweg 3-4,Vmbo basis-kaderberoeps 3-4,Praktijkonderwijs
Aa en Hunze,1629,682,282,274,176,165,50
Aalburg,883,436,91,131,118,89,18
Aalsmeer,1790,798,302,307,219,125,39
Aalten,1661,707,202,311,197,179,65
Abcoude,,,,,,,
Achtkarspelen,1680,724,185,283,228,197,63
Akersloot,,,,,,,
Alblasserdam,1173,497,166,207,147,121,35
Albrandswaard,1492,642,256,262,199,111,22
Alkemade,,,,,,,
Alkmaar,4820,2027,863,721,479,569,161
Almelo,4273,1874,584,686,412,534,183
Almere,12918,5786,1689,1688,1454,1783,518
Almere,12918,5786,1689,1688,1454,1783,518
Alphen aan den Rijn,4411,1852,839,846,457,318,99
Alphen-Chaam,566,231,101,114,80,37,3
Altena,,,,,,,
Ambt Delden,,,,,,,
Ambt Montfort,,,,,,,
Ameland,225,86,12,28,67,26,6
Amerongen,,,,,,,
Amersfoort,9404,4089,1727,1513,1054,693,328
Amstelveen,4572,1954,1239,733,358,211,77
Amsterdam,33958,14677,6481,4370,3069,4076,1285
Andijk,,,,,,,
Angerlo,,,,,,,
Anna Paulowna,,,,,,,
Apeldoorn,8954,3735,1505,1408,1089,950,267
Appingedam,609,253,86,97,63,86,24
Arcen en Velden,,,,,,,
Arnhem,7356,3109,1316,1213,730,748,240
Assen,4102,1701,617,668,499,469,148
Asten,965,459,153,140,91,97,25
Avereest,,,,,,,
Axel,,,,,,,
Baarle-Nassau,260,132,40,36,34,13,5
Baarn,1427,670,256,241,157,80,23
Barendrecht,3223,1425,554,502,372,332,38
Barneveld,3849,1674,548,643,447,463,74
Bathmen,,,,,,,
Bedum,683,275,142,115,72,53,26
Beek (L.),948,387,206,168,88,80,19
Beekdaelen,,,,,,,
Beemster,567,244,98,102,63,43,17
Beesel,799,334,127,136,121,70,11
Belfeld,,,,,,,
Bellingwedde,472,213,42,58,65,66,28
Bemmel,,,,,,,
Bennebroek,,,,,,,
Berg en Dal,,,,,,,
Bergambacht,644,274,101,106,68,73,22
Bergeijk,1119,495,165,186,142,103,28
Bergen (L.),790,347,81,99,108,126,29
Bergen (NH.),1839,733,432,337,191,122,24
Bergen op Zoom,3849,1656,668,576,476,380,93
Bergh,,,,,,,
Bergschenhoek,,,,,,,
Berkel en Rodenrijs,,,,,,,
Berkelland,2663,1160,294,449,279,341,140
Bernheze,2057,861,367,347,235,205,42
Bernisse,755,316,105,151,98,75,10
Best,1934,821,360,312,239,171,31
Beuningen,1744,696,352,353,161,160,22
Beverwijk,2158,981,264,291,260,298,64
Binnenmaas,1559,665,282,253,190,148,21
Bladel,1247,535,197,187,164,137,27
Blaricum,607,254,188,106,35,24,0
Bleiswijk,,,,,,,
Bloemendaal,1798,666,672,276,125,39,20
Boarnsterhim,1263,584,191,193,148,126,21
Bodegraven,,,,,,,
Bodegraven-Reeuwijk,2210,918,392,425,212,200,63
Boekel,678,296,92,95,82,101,12
Bolsward,,,,,,,
Borculo,,,,,,,
Borger-Odoorn,1638,701,189,260,213,212,63
Born,,,,,,,
Borne,1363,543,264,248,132,126,50
Borsele,1502,629,206,270,172,195,30
Boskoop,1071,448,177,195,126,111,14
Boxmeer,1909,753,331,376,264,139,46
Boxtel,1758,690,354,344,143,156,71
Breda,9472,3937,1880,1604,1108,727,216
Brederwiede,,,,,,,
Breukelen,,,,,,,
Brielle,923,397,150,131,149,80,16
Broekhuizen,,,,,,,
Bronckhorst,2338,979,355,425,280,231,68
Brummen,1347,574,190,224,159,145,55
Brunssum,1428,606,218,220,161,180,43
Bunnik,995,384,286,187,87,43,8
Bunschoten,1322,590,122,244,143,174,49
Buren,1637,753,219,279,172,197,17
Bussum,2266,894,703,390,167,94,18
Capelle aan den IJssel,3767,1520,635,608,452,420,132
Castricum,2401,959,471,538,239,158,36
Coevorden,2200,961,277,367,270,256,69
Cranendonck,972,410,168,175,108,93,18
Cromstrijen,739,332,112,128,90,70,7
Cuijk,1604,677,215,292,183,203,34
Culemborg,1876,803,395,289,151,200,38
Dalfsen,1763,761,245,279,251,186,41
Dantumadeel,,,,,,,
Dantumadiel,1154,527,117,150,215,99,46
De Bilt,2856,1168,824,489,198,144,33
De Friese Meren,,,,,,,
De Fryske Marren,,,,,,,
De Lier,,,,,,,
De Marne,549,244,71,81,64,60,29
De Ronde Venen,2920,1242,636,506,312,183,41
De Wolden,1605,706,216,257,190,202,34
Delft,4322,1710,952,684,375,443,158
Delfzijl,1487,595,143,254,173,252,70
Den Ham,,,,,,,
Den Helder,3108,1344,307,510,343,432,172
Denekamp,,,,,,,
Deurne,1934,792,287,309,249,258,39
Deventer,5558,2499,900,773,529,690,167
Didam,,,,,,,
Diemen,1480,593,374,220,139,135,19
Diepenheim,,,,,,,
Dinkelland,1870,765,266,339,221,237,42
Dinxperlo,,,,,,,
Dirksland,572,260,54,97,68,84,9
Dodewaard,,,,,,,
Doesburg,755,319,112,97,94,101,32
Doetinchem,3381,1421,548,603,352,328,129
Dongen,1612,697,304,247,187,161,16
Dongeradeel,1451,686,136,162,231,175,61
Doorn,,,,,,,
Dordrecht,6743,2792,1076,982,884,736,273
Drechterland,1313,578,204,221,113,162,35
Driebergen-Rijsenburg,,,,,,,
Drimmelen,1608,685,277,231,202,182,31
Dronten,2670,1159,384,452,305,274,96
Dronten,2670,1159,384,452,305,274,96
Druten,1225,509,221,196,149,129,21
Duiven,2030,819,330,398,268,166,49
Echt,,,,,,,
Echteld,,,,,,,
Echt-Susteren,1489,569,316,265,195,128,16
Edam-Volendam,1791,767,372,313,149,175,15
Ede,6963,2876,1273,1110,842,652,210
Eemnes,639,301,102,115,67,49,5
Eemsmond,1011,400,131,176,120,142,42
Eersel,1127,440,206,187,137,135,22
Egmond,,,,,,,
Eibergen,,,,,,,
Eijsden,,,,,,,
Eijsden-Margraten,1537,604,323,331,151,113,15
Eindhoven,10146,4295,1898,1649,1137,953,214
Elburg,1420,633,174,202,194,199,18
Elst,,,,,,,
Emmen,6451,2759,804,916,771,942,259
Enkhuizen,1004,415,135,172,120,128,34
Enschede,8170,3488,1042,1348,880,1070,342
Epe,1978,830,319,318,231,220,60
Ermelo,1580,611,311,272,179,179,28
Etten-Leur,2297,961,323,452,259,247,55
Ferwerderadiel,532,256,53,55,70,65,33
Franekeradeel,1275,533,170,233,180,133,26
Gaasterlân-Sleat,620,256,65,72,96,107,24
Geertruidenberg,1173,482,168,166,154,166,37
Geldermalsen,1832,864,332,268,178,166,24
Geldrop,,,,,,,
Geldrop-Mierlo,2272,959,417,392,284,183,37
Geleen,,,,,,,
Gemert-Bakel,1683,710,238,300,198,198,39
Gendringen,,,,,,,
Gendt,,,,,,,
Genemuiden,,,,,,,
Gennep,994,432,120,149,121,151,21
Giessenlanden,1024,483,168,157,111,92,13
Gilze en Rijen,1609,697,243,282,159,193,35
Goedereede,646,293,68,95,76,102,12
Goeree-Overflakkee,,,,,,,
Goes,2267,912,404,431,227,236,57
Goirle,1364,569,258,286,142,91,18
Gooise Meren,,,,,,,
Goor,,,,,,,
Gorinchem,2228,937,390,380,248,197,76
Gorssel,,,,,,,
Gouda,4357,1734,922,686,452,386,177
Graafstroom,779,342,110,123,110,68,26
Graft-De Rijp,466,210,61,84,40,53,18
Gramsbergen,,,,,,,
Grave,782,322,109,165,93,82,11
Groenlo,,,,,,,
Groesbeek,1095,451,196,203,112,120,13
Groningen (gemeente),7346,3019,1531,1110,666,720,300
Grootegast,802,366,84,112,110,97,33
Grubbenvorst,,,,,,,
Gulpen-Wittem,759,304,174,146,64,57,14
Haaksbergen,1561,652,250,281,163,161,54
Haaren,1005,404,210,181,95,83,32
Haarlem,7709,3212,1637,1190,741,711,218
Haarlemmerliede en Spaarnwoude,405,152,78,82,48,34,11
Haarlemmermeer,9248,3969,1756,1642,1028,680,173
Haelen,,,,,,,
Halderberge,1697,713,289,314,173,165,43
Hardenberg,3886,1699,378,676,499,521,113
Harderwijk,2741,1149,447,477,305,278,85
Hardinxveld-Giessendam,1149,554,137,131,172,135,20
Haren,1388,544,437,232,101,59,15
Harenkarspel,1113,448,164,193,143,143,22
Harlingen,997,415,124,153,121,164,20
Harmelen,,,,,,,
Hasselt,,,,,,,
Hattem,749,313,149,125,77,65,20
Heel,,,,,,,
Heemskerk,2237,948,371,322,256,274,66
Heemstede,1779,662,632,277,144,53,11
Heerde,1094,451,186,185,140,112,20
Heerenveen,2570,1074,404,419,253,349,71
Heerhugowaard,3269,1398,431,526,385,422,107
Heerjansdam,,,,,,,
Heerlen,3972,1689,589,659,386,506,143
Heeze-Leende,943,377,181,173,124,73,15
Heiloo,1541,580,371,331,149,90,20
Heino,,,,,,,
Helden,,,,,,,
Hellendoorn,2099,925,304,368,242,219,41
Hellevoetsluis,2158,926,314,327,287,246,58
Helmond,5163,2302,738,822,684,427,190
Hendrik-Ido-Ambacht,1816,780,308,317,207,182,22
Hengelo (Gld.),,,,,,,
Hengelo (O.),4799,2004,772,785,545,532,161
het Bildt,657,306,51,78,102,108,12
Het Hogeland,,,,,,,
Heteren,,,,,,,
Heumen,1261,510,277,261,129,75,9
Heusden,2781,1115,494,446,401,250,75
Heythuysen,,,,,,,
Hillegom,1145,500,203,194,120,98,30
Hilvarenbeek,989,421,179,176,119,87,7
Hilversum,4996,2146,1098,854,478,310,110
Hoeksche Waard,,,,,,,
Hof van Twente,2134,941,303,325,275,228,62
Hollands Kroon,3036,1355,306,498,369,416,92
Holten,,,,,,,
Hontenisse,,,,,,,
Hoogeveen,3218,1444,321,495,393,419,146
Hoogezand-Sappemeer,1890,792,229,252,228,275,114
Hoorn,4333,1865,650,715,434,516,153
Horst,,,,,,,
Horst aan de Maas,2667,1124,449,442,281,316,55
Houten,3344,1360,866,548,303,226,41
Huissen,,,,,,,
Huizen,2553,1050,509,500,261,190,43
Hulst,1593,607,227,267,207,214,71
Hummelo en Keppel,,,,,,,
Hunsel,,,,,,,
IJsselham,,,,,,,
IJsselmuiden,,,,,,,
IJsselstein,2299,1060,465,322,215,199,38
Jacobswoude,,,,,,,
Kaag en Braassem,1621,718,315,267,199,98,24
Kampen,3189,1476,423,467,345,367,111
Kapelle,840,336,175,159,82,70,18
Katwijk,3777,1725,498,548,475,443,88
Kerkrade,1900,790,278,301,165,269,97
Kessel,,,,,,,
Kesteren,,,,,,,
Koggenland,1496,649,203,235,172,201,36
Kollumerland en Nieuwkruisland,826,337,97,150,110,99,33
Korendijk,670,303,100,121,74,68,4
Krimpen aan den IJssel,1796,764,291,298,238,170,35
Krimpenerwaard,,,,,,,
Laarbeek,1307,568,190,252,177,95,25
Landerd,1034,452,116,194,149,107,16
Landgraaf,1885,798,262,341,212,220,52
Landsmeer,649,289,143,114,66,27,10
Langedijk,1863,785,315,319,210,189,45
Lansingerland,3907,1712,793,643,443,268,48
Laren (NH.),689,299,204,118,38,22,8
Leek,1261,529,161,199,187,142,43
Leerdam,1283,573,162,158,160,174,56
Leersum,,,,,,,
Leeuwarden,4488,1871,719,716,467,521,194
Leeuwarderadeel,688,271,92,115,108,73,29
Leiden,5618,2324,1442,789,483,423,157
Leiderdorp,1768,731,446,268,164,127,32
Leidschendam,,,,,,,
Leidschendam-Voorburg,3519,1442,861,627,308,237,44
Lelystad,4297,1884,555,588,441,621,208
Lelystad,4297,1884,555,588,441,621,208
Lemsterland,831,379,131,96,110,97,18
Leudal,2048,913,335,317,266,175,42
Leusden,1858,746,386,367,198,122,39
Lichtenvoorde,,,,,,,
Liemeer,,,,,,,
Liesveld,701,294,123,111,90,79,4
Limmen,,,,,,,
Lingewaal,706,311,114,108,86,74,13
Lingewaard,2965,1279,495,548,312,288,43
Lisse,1317,514,248,227,161,151,16
Lith,,,,,,,
Littenseradiel,746,323,105,129,110,68,11
Lochem,2111,872,425,351,244,165,54
Loenen,,,,,,,
Loon op Zand,1342,572,239,237,153,116,25
Loosdrecht,,,,,,,
Lopik,1035,462,160,167,109,114,23
Loppersum,598,266,91,96,66,64,15
Losser,1275,539,188,191,190,121,46
Maarn,,,,,,,
Maarssen,,,,,,,
Maartensdijk,,,,,,,
Maasbracht,,,,,,,
Maasbree,,,,,,,
Maasdonk,784,344,104,130,104,91,11
Maasdriel,1475,610,233,236,180,170,46
Maasgouw,1233,523,237,192,167,89,25
Maasland,,,,,,,
Maassluis,1712,731,246,265,203,224,43
Maastricht,4953,1973,1049,899,413,480,139
Margraten,,,,,,,
Markelo,,,,,,,
Marum,713,328,74,89,91,102,29
Medemblik,2751,1253,345,439,298,326,90
Meerlo-Wanssum,,,,,,,
Meerssen,1176,486,279,193,118,80,20
Meierijstad,,,,,,,
Meijel,,,,,,,
Menaldumadeel,,,,,,,
Menameradiel,893,359,115,164,130,103,22
Menterwolde,698,291,70,96,93,116,32
Meppel,1950,892,275,356,191,187,49
Middelburg (Z.),2840,1166,528,477,292,316,61
Middelharnis,1060,462,139,216,123,102,18
Midden-Delfland,1386,552,330,257,142,91,14
Midden-Drenthe,2087,932,262,303,281,244,65
Midden-Groningen,,,,,,,
Mierlo,,,,,,,
Mill en Sint Hubert,699,314,64,137,99,76,9
Millingen aan de Rijn,359,163,42,74,35,38,7
Moerdijk,2101,922,317,347,258,207,50
Molenlanden,,,,,,,
Molenwaard,,,,,,,
Monster,,,,,,,
Montferland,2094,946,295,275,243,244,91
Montfoort,931,364,161,177,110,104,15
Mook en Middelaar,563,228,123,110,62,34,6
Moordrecht,,,,,,,
Muiden,436,174,112,79,43,23,5
Naaldwijk,,,,,,,
Naarden,1357,529,395,267,105,49,12
Neder-Betuwe,1591,732,142,246,208,212,51
Nederhorst den Berg,,,,,,,
Nederland,960682,409554,161814,153679,107970,100076,27589
Nederlek,885,398,104,168,114,87,14
Nederweert,943,375,152,147,168,81,20
Neede,,,,,,,
Neerijnen,760,365,96,98,100,81,20
Niedorp,,,,,,,
Nieuwegein,3223,1493,541,431,324,338,96
Nieuwerkerk aan den IJssel,,,,,,,
Nieuwkoop,1715,769,243,314,195,167,27
Nieuw-Lekkerland,720,307,85,95,119,98,16
Nieuwleusen,,,,,,,
Nijefurd,,,,,,,
